Email,Twitter Username,Marital Status,Household Income,Own Home,Education,Favorite Department
ojouglad@einrot.com,ojouglad,Married,65000,No,4 Year Degree,Electronics
lkarfurless@dayrep.com,lkarfurless,Single,143000,Yes,Graduate Degree,Apparel
lhvmeehom@einrot.com,lhvmeehom,Prefer not to Answer,75000,Yes,4 Year Degree,Prefer not to Answer
sladd@superrito.com,sladd,Married,52000,Yes,2 Year Degree,None
vrhee@einrot.com,vrhee,Prefer not to Answer,17500,No,High School,Books
jpoole@dayrep.com,jpoole,Married,Prefer not to Answer,Yes,Some College,Books
bdehatchett@dayrep.com,bdehatchett,Prefer not to Answer,67000,Yes,4 Year Degree,Electronics
mrofone@dayrep.com,mrofone,Single,121000,Yes,Prefer not to Answer,Jewelry
tanott@rhyta.com,tanott,Single,26000,No,2 Year Degree,Digital Downloads
akuss@rhyta.com,akuss,Single,22500,No,High School,None
tpani@superrito.com,tpani,Prefer not to Answer,89000,Yes,Graduate Degree,Jewelry
rdeboat@dayrep.com,rdeboat,Single,69000,Yes,Graduate Degree,Electronics
mmelator@rhyta.com,mmelator,Prefer not to Answer,42000,No,4 Year Degree,Books
crha@einrot.com,crha,Married,34000,Prefer not to Answer,4 Year Degree,Books
bmelator@einrot.com,bmelator,Single,13000,No,2 Year Degree,Digital Downloads
ddelyons@dayrep.com,ddelyons,Single,105000,Yes,High School,Electronics
ccayne@rhyta.com,ccayne,Married,62000,Yes,4 Year Degree,None
bbarion@superrito.com,bbarion,Single,74000,No,4 Year Degree,Jewelry
balott@rhyta.com,balott,Married,Prefer not to Answer,Prefer not to Answer,Graduate Degree,Apparel
etasomthin@superrito.com,etasomthin,Married,39000,No,2 Year Degree,Prefer not to Answer
edetyers@dayrep.com,edetyers,Single,Prefer not to Answer,No,Prefer not to Answer,Apparel
afresco@dayrep.com,afresco,Married,45000,No,High School,Apparel
rovlight@dayrep.com,rovlight,Prefer not to Answer,28000,No,2 Year Degree,Digital Downloads
sbellum@superrito.com,sbellum,Married,100000,Yes,Graduate Degree,Jewelry
sofewe@dayrep.com,sofewe,Single,50000,Yes,4 Year Degree,Books
