orderid,orderdate,custname,custemail,custcountry,orderstatus,ordertotal,ordercreditcard,ordershipvia,shippingtotal
2,2023-03-24,Frayda Pepperd,fpepperd0@sciencedaily.com,Canada,delivered,228.39,Discover,RPS,12.05
3,2020-02-23,Loy Siberry,lsiberry1@so-net.ne.jp,Canada,delivered,76.87,Discover,USPS,6.27
4,2022-04-28,Carree Henworth,,Canada,pending,152.3,Discover,USPS,12.74
6,2022-05-03,Marris Chatten,mchatten4@csmonitor.com,Mexico,pending,208.28,Discover,RPS,2.16
7,2022-12-19,Logan Jacobsson,ljacobsson5@wufoo.com,United States,delivered,112.15,Amex,USPS,11.52
8,2019-06-05,Lilli Feares,lfeares6@shop-pro.jp,Mexico,pending,237.9,Discover,FedEX,4.48
9,2019-02-17,Lowrance Sigsworth,lsigsworth7@youtube.com,United States,delivered,141.94,Discover,USPS,7.31
10,2023-04-19,Libbi Spadari,lspadari8@dot.gov,Mexico,pending,160.79,Discover,RPS,16.52
12,2022-03-03,Lucky Helstrip,lhelstripa@tmall.com,Mexico,delivered,202.07,Amex,UPS,18.57
13,2021-09-04,Debi Myrie,dmyrieb@unc.edu,United States,delivered,131.62,Amex,UPS,2.37
14,2022-02-27,Hyacinth Aveyard,haveyardc@ucoz.com,United States,pending,209.86,Amex,USPS,8.69
